Employee_ID, Computer_OS, Computer_OS_version, Computer_tickets, Mobile_OS, Mobile_OS_version, Mobile_tickets
EID_18343,Windows,8,1,Android,9,0
EID_4861,Windows,7,2,Android,8,0
EID_16936,Windows,10,3,Android,10,0
EID_16384,Windows,10,1,Android,7,1
EID_10666,Windows,7,7,Android,10,4
EID_4059,Windows,10,0,Android,9,0
EID_11496,MacOS,High Sierra,1,iOS,13,0
EID_11781,Windows,7,0,Android,8,0
EID_24552,Windows,10,0,,,0
EID_16430,Windows,10,1,Android,9,0
EID_21382,Windows,10,2,,,0
EID_13196,Windows,10,0,Android,7,0
EID_24365,Windows,8,5,Android,8,0
EID_9398,MacOS,High Sierra,0,iOS,13,0
EID_15729,Windows,10,2,Android,8,0
EID_14017,Windows,10,5,Android,8,0
EID_9909,Windows,8,6,Android,8,4
EID_7004,MacOS,Mojave,1,iOS,13,0
EID_12168,Windows,7,6,Android,9,0
EID_6406,MacOS,High Sierra,2,iOS,13,0
EID_16368,Windows,8,1,Android,7,0
EID_20609,Windows,8,4,Android,8,3
EID_15803,Windows,10,0,Android,7,0
EID_5202,Windows,7,1,Android,8,2
EID_17444,Linux,ubuntu,4,iOS,13,0
EID_18775,Windows,7,2,Android,10,1
EID_8794,Windows,7,12,Android,10,1
EID_4682,Linux,ubuntu,1,Android,8,0
EID_23863,MacOS,,1,Android,9,0
EID_7042,Windows,10,0,Android,8,0
EID_2457,Windows,7,4,Android,9,0
EID_12588,Windows,10,1,Android,8,1
EID_2730,Windows,10,4,Android,8,1
EID_10443,Windows,7,0,,,1
EID_20301,,,7,Android,8,0
EID_10963,Windows,8,8,Android,7,0
EID_20113,Windows,10,9,Android,8,0
EID_13749,MacOS,Catalina,2,iOS,13,0
EID_8329,MacOS,Catalina,0,iOS,13,0
EID_4258,Windows,10,1,Android,8,0
EID_14481,,,6,Android,8,1
EID_24652,Windows,10,5,Android,10,2
EID_9493,Windows,8,7,Android,10,0
EID_18245,Windows,7,1,Android,7,0
EID_10823,Windows,10,1,Android,8,0
EID_6347,Windows,8,3,Android,8,2
EID_21773,Windows,10,0,Android,10,2
EID_24100,Windows,7,8,Android,10,0
EID_23511,MacOS,Mojave,7,iOS,12,0
EID_16170,Windows,10,7,Android,7,1
EID_20111,Windows,10,4,Android,9,1
EID_23548,Windows,8,3,Android,7,2
EID_20906,Windows,10,1,Android,8,0
EID_16007,Windows,10,3,Android,10,2
EID_10795,MacOS,Mojave,2,iOS,12,0
EID_21458,Windows,10,1,,,1
EID_7853,Windows,10,0,Android,9,0
EID_5785,Windows,,1,iOS,13,0
EID_19242,Windows,10,5,Android,7,1
EID_17236,Windows,7,5,Android,8,2
EID_5967,Windows,10,7,Android,9,1
EID_20663,Windows,10,5,Android,8,1
EID_3929,Linux,ubuntu,0,Android,7,0
EID_12480,Windows,10,3,Android,8,1
EID_10283,Windows,8,1,,,0
EID_19075,MacOS,Catalina,0,Android,10,0
EID_19113,Windows,10,1,iOS,13,0
EID_12365,Windows,10,1,Android,8,1
EID_19425,MacOS,Mojave,0,iOS,13,0
EID_8518,Windows,10,0,Android,10,0
EID_25340,Windows,10,7,Android,10,0
EID_5719,Windows,8,6,Android,8,4
EID_15394,Windows,8,2,Android,8,2
EID_13612,MacOS,High Sierra,2,iOS,11,0
EID_13629,Windows,10,4,Android,8,2
EID_2369,MacOS,Mojave,0,iOS,12,0
EID_19928,Windows,8,1,Android,8,0
EID_2555,Windows,10,5,Android,8,2
EID_14177,Windows,10,2,Android,10,1
EID_1356,Windows,10,0,Android,8,0
EID_7453,Linux,ubuntu,1,Android,8,0
EID_13889,Windows,10,1,Android,7,1
EID_8748,MacOS,Catalina,0,iOS,12,0
EID_24900,Windows,10,0,Android,9,0
EID_9240,Windows,8,0,Android,8,0
EID_6436,Windows,,1,iOS,13,0
EID_24430,Windows,10,11,Android,8,0
EID_19903,MacOS,High Sierra,0,iOS,12,0
