id,Number of reported deaths from cholera,Cholera case fatality rate,WHO Region
1,5,0.7,Eastern Mediterranean
2,8,0.01,Eastern Mediterranean
3,4,0,Eastern Mediterranean
4,14,0.35,Eastern Mediterranean
5,0,0.1,Eastern Mediterranean
6,44,1.18,Eastern Mediterranean
7,10,0.42,Eastern Mediterranean
8,11,1.66,Eastern Mediterranean
9,22,0.5,Eastern Mediterranean
10,0,0,Eastern Mediterranean
11,7,17.07,Eastern Mediterranean
12,,,Eastern Mediterranean
13,114,2.53,Eastern Mediterranean
14,198,4.57,Eastern Mediterranean
15,152,0.62,Eastern Mediterranean
16,0,0,Eastern Mediterranean
17,125,3,Eastern Mediterranean
18,624,3.14,Eastern Mediterranean
19,118,0.3,Eastern Mediterranean
20,931,2.51,Eastern Mediterranean
21,55,25.23,Eastern Mediterranean
22,199,22.44,Eastern Mediterranean
23,25,3.99,Europe
24,0,0,Africa
25,0,0,Africa
26,4,3.39,Africa
27,0,0,Africa
28,20,1.54,Africa
29,0,0,Africa
30,30,4.29,Africa
31,0,0,Africa
32,0,0,Africa
33,9,4.13,Africa
34,18,2.93,Africa
35,94,3.74,Africa
36,13,5.91,Africa
37,9,3.44,Africa
38,30,10.49,Africa
39,118,10.13,Africa
40,50,6.78,Africa
41,74,12.23,Africa
42,71,10.99,Africa
43,110,8.26,Africa
44,3,3.8,Africa
45,3,1.4,Africa
46,86,1.29,Africa
47,98,8.07,Africa
48,110,6.08,Africa
49,30,2.02,Africa
50,88,4.36,Africa
51,243,2.31,Africa
52,513,2.78,Africa
53,2722,4.05,Africa
54,0,0,Africa
55,42,3.22,Africa
56,248,7.53,Africa
57,187,5.43,Africa
58,184,5.1,Africa
59,582,6.78,Africa
60,809,8.49,Africa
61,925,5.26,Africa
62,1542,9.95,Africa
63,1403,8.65,Africa
64,31,4.27,Africa
65,4,4.55,Africa
66,34,3.64,Africa
67,9,3.42,Africa
68,24,8.96,Africa
69,,,Africa
70,0,0,Americas
71,12,1.88,Americas
72,5,1.05,Americas
73,1,0.53,Americas
74,15,1.69,Americas
75,34,1.45,Americas
76,0,0,Europe
77,0,0,Western Pacific
78,,,Western Pacific
79,0,0,Western Pacific
80,0,0,Western Pacific
81,0,0,Western Pacific
82,0,0,Western Pacific
83,0,0,Western Pacific
84,0,0,Western Pacific
85,0,0,Western Pacific
86,0,0,Western Pacific
87,0,0,Western Pacific
88,,,Western Pacific
89,,,Western Pacific
90,,,Western Pacific
91,0,0,Western Pacific
92,,,Western Pacific
93,0,0,Western Pacific
94,0,0,Western Pacific
95,0,0,Western Pacific
96,0,0,Western Pacific
97,0,0,Western Pacific
98,0,0,Western Pacific
99,0,0,Western Pacific
100,0,0,Western Pacific
101,0,0,Western Pacific
102,0,0,Western Pacific
103,0,0,Western Pacific
104,0,0,Western Pacific
105,0,0,Western Pacific
106,0,0,Western Pacific
107,0,0,Western Pacific
108,0,0,Western Pacific
109,0,0,Western Pacific
110,0,0,Western Pacific
111,0,0,Europe
112,,,Europe
113,,,Europe
114,0,0,Europe
115,,,Europe
116,0,0,Europe
117,0,0,Europe
118,0,0,Europe
119,0,0,Europe
120,0,0,Europe
121,0,0,Americas
122,,,Americas
123,0,0,Eastern Mediterranean
124,0,0,Eastern Mediterranean
125,2,0.22,Eastern Mediterranean
126,0,0,Eastern Mediterranean
127,4,5.41,Eastern Mediterranean
128,0,0,Eastern Mediterranean
129,16,1.57,South-East Asia
130,63,1.83,South-East Asia
131,26,2.44,South-East Asia
132,95,4.85,South-East Asia
133,0,0,South-East Asia
134,61,2.66,South-East Asia
135,41,7.3,South-East Asia
136,0,0,South-East Asia
137,29,6.05,South-East Asia
138,0,0,South-East Asia
139,4,4.88,South-East Asia
140,2,2.13,South-East Asia
141,43,7.53,South-East Asia
142,23,4.4,South-East Asia
143,21,0.97,South-East Asia
144,81,1.45,South-East Asia
145,354,3.4,South-East Asia
146,62,6.48,South-East Asia
147,117,2.39,South-East Asia
148,173,3.08,South-East Asia
149,369,18.74,South-East Asia
150,201,18.98,South-East Asia
151,386,16.48,South-East Asia
152,1889,25.46,South-East Asia
153,1556,21,South-East Asia
154,614,19.46,South-East Asia
155,369,55.57,South-East Asia
156,1234,39.12,South-East Asia
157,683,60.82,South-East Asia
158,2419,72.58,South-East Asia
159,1248,31.4,South-East Asia
160,1304,51.66,South-East Asia
161,1703,63.95,South-East Asia
162,6272,40.16,South-East Asia
163,11056,65.36,South-East Asia
164,10119,64.74,South-East Asia
165,5134,63.74,South-East Asia
166,15310,64.6,South-East Asia
167,9802,58.9,South-East Asia
168,9443,60.47,South-East Asia
169,16904,61.18,South-East Asia
170,12884,60.91,South-East Asia
171,12372,59.21,South-East Asia
172,12947,43.43,South-East Asia
173,0,0,Europe
174,0,0,Europe
175,0,0,Europe
176,0,0,Europe
177,0,0,Europe
178,0,0,Europe
179,,,Europe
180,0,0,Europe
181,0,0,Europe
182,0,0,Europe
183,0,0,Europe
184,0,0,Americas
185,1,3.57,Americas
186,0,0,Americas
187,0,0,Americas
188,1,5.26,Americas
189,1,16.67,Americas
190,3,2.22,Americas
191,4,2.52,Americas
192,13,1.7,Africa
193,12,1.4,Africa
194,6,1.14,Africa
195,3,0.48,Africa
196,4,0.53,Africa
197,8,0.81,Africa
198,1,1.35,Africa
199,5,0.51,Africa
200,1,1.1,Africa
201,11,1.47,Africa
202,9,1.4,Africa
203,11,2.53,Africa
204,13,4.81,Africa
205,71,1.8,Africa
206,11,2.35,Africa
207,25,2.92,Africa
208,1,0.49,Africa
209,16,2.01,Africa
210,203,3.28,Africa
211,12,5.91,Africa
212,20,10.7,Africa
213,2,20,Africa
214,17,4.12,Africa
215,259,3.47,Africa
216,13,5.35,Africa
217,0,0,Africa
218,0,0,Africa
219,0,0,Africa
220,0,0,Africa
221,0,0,Africa
222,0,0,Africa
223,0,0,Africa
224,14,9.59,Africa
225,1,2.22,Africa
226,4,5.48,Africa
227,2,66.67,Africa
228,29,11.6,Africa
229,274,12.85,Africa
230,37,21.14,Africa
231,0,0,South-East Asia
232,0,0,South-East Asia
233,6,1.21,South-East Asia
234,19,4.5,South-East Asia
235,7,1.5,Americas
236,18,1.1,Americas
237,68,2.39,Americas
238,54,2.36,Americas
239,46,1.7,Americas
240,254,2.51,Americas
241,395,1.77,Americas
242,12,5.83,Americas
243,2,13.33,Africa
244,1,12.5,Africa
245,0,0,Africa
246,0,0,Africa
247,0,0,Americas
248,0,0,Americas
249,0,0,Americas
250,0,0,Americas
251,17,2.38,Americas
252,83,1.85,Americas
253,27,1.05,Americas
254,37,1.28,Americas
255,33,0.6,Americas
256,85,0.53,Americas
257,452,0.91,Americas
258,644,1.09,Americas
259,363,1.2,Americas
260,33,1.57,Americas
261,,0,Western Pacific
262,0,0,Western Pacific
263,0,0,Western Pacific
264,0,0,Western Pacific
265,6,3.03,Western Pacific
266,0,0,Western Pacific
267,7,4.9,Africa
268,2,10,Africa
269,0,0,Africa
270,0,0,Africa
271,16,1.52,Africa
272,,,Africa
273,7,1.47,Africa
274,14,2.27,Africa
275,7,7.53,Africa
276,52,5.02,Africa
277,58,13.65,Africa
278,113,7.79,Africa
279,61,11.36,Africa
280,156,13.58,Africa
281,117,5.34,Africa
282,0,0,Africa
283,3,100,Africa
284,66,10.44,Africa
285,249,22.27,Africa
286,0,0,Africa
287,495,28.11,Africa
288,1,100,Africa
289,5,1.2,Africa
290,0,0,Africa
291,9,1.5,Africa
292,17,1.09,Africa
293,1,0.47,Africa
294,1,0.09,Africa
295,1,0.3,Africa
296,0,0,Africa
297,4,1.71,Africa
298,2,0.55,Africa
299,7,0.79,Africa
300,18,1.38,Africa
301,14,1.71,Africa
302,18,4.17,Africa
303,8,1.39,Africa
304,20,1.99,Africa
305,16,1.57,Africa
306,63,1.83,Africa
307,26,2.44,Africa
308,95,4.85,Africa
309,,,Africa
310,,,Africa
311,41,7.3,Africa
312,0,0,Africa
313,29,6.05,Africa
314,,,Africa
315,,,Africa
316,15,5.79,Africa
317,10,5.56,Africa
318,35,6.84,Africa
319,9,2.17,Africa
320,11,1.89,Africa
321,28,1.37,Africa
322,31,3.39,Africa
323,248,2.99,Africa
324,0,0,Africa
325,0,0,Africa
326,1,0.75,Africa
327,3,0.7,Africa
328,240,1.86,Africa
329,12,9.38,Africa
330,17,7.76,Africa
331,3,15,Africa
332,8,2.64,Africa
333,1,0.17,Western Pacific
334,0,0,Western Pacific
335,1,1.75,Western Pacific
336,130,7.6,Western Pacific
337,66,5.51,Western Pacific
338,0,0,Western Pacific
339,20,2.7,Western Pacific
340,123,2.94,Western Pacific
341,211,6.84,Western Pacific
342,104,4.62,Western Pacific
343,120,9.76,Western Pacific
344,97,12.6,Western Pacific
345,0,0,Western Pacific
346,2,4.26,Western Pacific
347,0,0,Western Pacific
348,55,11.6,Western Pacific
349,0,0,Western Pacific
350,1,0.69,Western Pacific
351,14,8.81,Western Pacific
352,1,12.5,Western Pacific
353,0,0,Western Pacific
354,5,8.06,Western Pacific
355,27,14.44,Western Pacific
356,13,25,Western Pacific
357,0,0,Western Pacific
358,1,16.67,Western Pacific
359,1,100,Western Pacific
360,2,100,Western Pacific
361,8,72.73,Western Pacific
362,10,41.67,Western Pacific
363,40,70.18,Western Pacific
364,1,10,Western Pacific
365,6,4.8,Africa
366,184,5.5,Africa
367,0,0,Africa
